Year,Month,Temp
1872,3,9.544
1872,4,15.708
1872,5,20.312
1872,6,23.171
1872,7,29.908
1872,8,28.197
1872,9,23.451
1872,10,17.886
1872,11,11.721
1872,12,7.975
1873,1,1.974
1873,2,4.159
1873,3,7.844
1873,4,15.897
1873,5,20.073
1873,6,23.409
1873,7,28.695
1873,8,27.234
1873,9,23.47
1873,10,17.011
1873,11,11.967
1873,12,7.113
1874,1,1.138
1874,2,4.237
1874,3,7.508
1874,4,15.042
1874,5,19.629
1874,6,25.916
1874,7,27.95
1874,8,27.928
1874,9,23.734
1874,10,18.12
1874,11,10.137
1874,12,6.77
1875,1,2.119
1875,2,4.307
1875,3,10.134
1875,4,13.639
1875,5,20.689
1875,6,23.79
1875,7,28.62
1875,8,27.627
1875,9,22.882
1875,10,17.569
1875,11,10.96
1875,12,3.276
1876,1,1.16
1876,2,5.07
1876,3,9.335
1876,4,14.235
1876,5,20.257
1876,6,23.168
1876,7,27.533
1876,8,27.728
1876,9,23.454
1876,10,18.288
1876,11,10.562
1876,12,6.362
1877,1,2.717
1877,2,2.603
1877,3,8.397
1877,4,15.627
1877,5,19.831
1877,6,24.533
1877,7,27.6
1877,8,26.553
1877,9,23.451
1877,10,16.347
1877,11,11.746
1877,12,5.814
1878,1,0.325
1878,2,3.199
1878,3,9.605
1878,4,14.544
1878,5,19.312
1878,6,23.949
1878,7,28.347
1878,8,27.426
1878,9,23.934
1878,10,18.409
1878,11,11.726
1878,12,4.73
1879,1,2.929
1879,2,5.64
1879,3,8.126
1879,4,13.697
1879,5,20.185
1879,6,24.406
1879,7,29.462
1879,8,29.295
1879,9,23.984
1879,10,17.511
1879,11,12.659
1879,12,5.709
1880,1,1.948
1880,2,4.372
1880,3,9.193
1880,4,13.893
1880,5,20.525
1880,6,23.667
1880,7,26.817
1880,8,26.47
1880,9,24.109
1880,10,18.818
1880,11,10.075
1880,12,3.505
1881,1,2.13
1881,2,5.275
1881,3,6.434
1881,4,14.331
1881,5,18.998
1881,6,24.164
1881,7,27.992
1881,8,27.919
1881,9,23.728
1881,10,18.122
1881,11,12.394
1881,12,6.062
1882,1,4.545
1882,2,4.488
1882,3,8.589
1882,4,14.285
1882,5,19.575
1882,6,23.584
1882,7,26.75
1882,8,26.294
1882,9,23.466
1882,10,18.976
1882,11,11.024
1882,12,4.869
1883,1,2.027
1883,2,3.618
1883,3,8.607
1883,4,14.561
1883,5,18.75
1883,6,24.914
1883,7,28.084
1883,8,27.299
1883,9,23.404
1883,10,18.272
1883,11,11.032
1883,12,4.361
1884,1,4.034
1884,2,2.932
1884,3,8.513
1884,4,13.514
1884,5,18.867
1884,6,23.494
1884,7,27.267
1884,8,26.522
1884,9,23.831
1884,10,17.434
1884,11,9.297
1884,12,3.327
1885,1,2.127
1885,2,2.167
1885,3,7.863
1885,4,12.876
1885,5,19.168
1885,6,23.218
1885,7,26.399
1885,8,27.914
1885,9,22.97
1885,10,17.975
1885,11,10.128
1885,12,6.111
1886,1,1.847
1886,2,1.191
1886,3,8.515
1886,4,14.053
1886,5,19.518
1886,6,23.049
1886,7,27.936
1886,8,27.327
1886,9,22.264
1886,10,18.604
1886,11,11.651
1886,12,4.748
1887,1,2.562
1887,2,3.66
1887,3,8.571
1887,4,15.339
1887,5,19.255
1887,6,23.197
1887,7,27.553
1887,8,28.266
1887,9,23.924
1887,10,17.994
1887,11,11.635
1887,12,5.89
1888,1,3.847
1888,2,2.38
1888,3,9.628
1888,4,14.152
1888,5,19.827
1888,6,23.381
1888,7,28.147
1888,8,28.121
1888,9,23.296
1888,10,17.599
1888,11,12.42
1888,12,7.65
1889,1,1.07
1889,2,3.382
1889,3,9.185
1889,4,13.803
1889,5,18.759
1889,6,25.288
1889,7,28.276
1889,8,27.31
1889,9,22.438
1889,10,17.586
1889,11,11.138
1889,12,5.395
1890,1,3.71
1890,2,6.815
1890,3,8.066
1890,4,15.572
1890,5,19.79
1890,6,24.216
1890,7,28.257
1890,8,27.236
1890,9,22.663
1890,10,17.118
1890,11,12.958
1890,12,8.25
1891,1,2.988
1891,2,4.293
1891,3,8.749
1891,4,13.431
1891,5,20.044
1891,6,23.993
1891,7,27.17
1891,8,27.275
1891,9,23.505
1891,10,19.423
1891,11,11.869
1891,12,5.896
1892,1,3.35
1892,2,4.762
1892,3,6.598
1892,4,14.237
1892,5,18.907
1892,6,24.532
1892,7,28.588
1892,8,28.541
1892,9,22.547
1892,10,16.845
1892,11,12.129
1892,12,4.096
1893,1,0.734
1893,2,2.338
1893,3,8.814
1893,4,14.25
1893,5,18.839
1893,6,24.138
1893,7,28.359
1893,8,26.961
1893,9,24.413
1893,10,17.195
1893,11,10.15
1893,12,5.374
1894,1,3.791
1894,2,4.897
1894,3,8.873
1894,4,15.614
1894,5,19.81
1894,6,24.899
1894,7,28.943
1894,8,28.695
1894,9,23.669
1894,10,17.742
1894,11,12.468
1894,12,5.328
1895,1,1.393
1895,2,4.082
1895,3,7.746
1895,4,14.936
1895,5,19.86
1895,6,24.354
1895,7,26.902
1895,8,27.552
1895,9,22.524
1895,10,17.3
1895,11,11.139
1895,12,5.399
1896,1,3.563
1896,2,3.599
1896,3,6.946
1896,4,14.829
1896,5,19.211
1896,6,24.558
1896,7,27.445
1896,8,27.921
1896,9,23.865
1896,10,18.045
1896,11,13.397
1896,12,5.332
1897,1,4.292
1897,2,1.995
1897,3,8.427
1897,4,13.356
1897,5,19.632
1897,6,24.295
1897,7,27.993
1897,8,28.288
1897,9,23.618
1897,10,18.089
1897,11,12.874
1897,12,4.323
1898,1,4.412
1898,2,6.747
1898,3,8.205
1898,4,13.555
1898,5,20.133
1898,6,24.548
1898,7,28.948
1898,8,27.967
1898,9,24.327
1898,10,18.277
1898,11,13.074
1898,12,5.772
1899,1,3.152
1899,2,5.449
1899,3,9.619
1899,4,14.228
1899,5,19.579
1899,6,24.995
1899,7,28.097
1899,8,27.117
1899,9,22.71
1899,10,16.019
1899,11,10.854
1899,12,8.236
1900,1,1.599
1900,2,4.166
1900,3,8.46
1900,4,14.51
1900,5,20.304
1900,6,23.576
1900,7,28.102
1900,8,28.107
1900,9,23.657
1900,10,18.245
1900,11,12.331
1900,12,6.535
1901,1,4.543
1901,2,1.348
1901,3,8.33
1901,4,14.676
1901,5,18.763
1901,6,23.483
1901,7,26.533
1901,8,27.379
1901,9,22.907
1901,10,18.225
1901,11,11.402
1901,12,5.511
1902,1,5.398
1902,2,4.561
1902,3,10.767
1902,4,14.262
1902,5,20.02
1902,6,23.8
1902,7,27.501
1902,8,26.812
1902,9,22.575
1902,10,18.46
1902,11,14.078
1902,12,6.978
1903,1,2.815
1903,2,4.133
1903,3,9.653
1903,4,14.486
1903,5,19.385
1903,6,23.606
1903,7,26.777
1903,8,28.03
1903,9,23.822
1903,10,17.844
1903,11,10.983
1903,12,5.172
1904,1,2.961
1904,2,6.638
1904,3,8.548
1904,4,14.284
1904,5,19.155
1904,6,24.585
1904,7,27.475
1904,8,27.214
1904,9,23.235
1904,10,17.607
1904,11,10.843
1904,12,5.126
1905,1,5.842
1905,2,1.912
1905,3,7.086
1905,4,12.33
1905,5,19.385
1905,6,24.767
1905,7,28.427
1905,8,26.619
1905,9,23.618
1905,10,17.393
1905,11,11.444
1905,12,7.225
1906,1,3.244
1906,2,3.431
1906,3,8.534
1906,4,14.472
1906,5,19.372
1906,6,24.281
1906,7,27.68
1906,8,27.597
1906,9,23.395
1906,10,17.577
1906,11,10.463
1906,12,5.946
1907,1,4.908
1907,2,2.599
1907,3,7.714
1907,4,13.998
1907,5,20.351
1907,6,23.562
1907,7,25.855
1907,8,28.004
1907,9,22.929
1907,10,18.854
1907,11,11.936
1907,12,6.16
1908,1,4.053
1908,2,3.532
1908,3,7.968
1908,4,12.707
1908,5,19.78
1908,6,24.232
1908,7,27.656
1908,8,27.743
1908,9,23.416
1908,10,18.286
1908,11,11.344
1908,12,7.378
1909,1,3.202
1909,2,4.513
1909,3,7.366
1909,4,14.907
1909,5,19.87
1909,6,23.047
1909,7,28.35
1909,8,28.194
1909,9,24.862
1909,10,18.33
1909,11,12.168
1909,12,5.294
1910,1,3.087
1910,2,3.078
1910,3,8.143
1910,4,12.774
1910,5,18.559
1910,6,24.415
1910,7,28.378
1910,8,27.782
1910,9,23.054
1910,10,17.738
1910,11,12.153
1910,12,3.921
1911,1,3.131
1911,2,4.537
1911,3,8.644
1911,4,14.305
1911,5,18.675
1911,6,23.128
1911,7,27.247
1911,8,27.445
1911,9,24.662
1911,10,16.966
1911,11,11.637
1911,12,5.352
1912,1,2.586
1912,2,6.599
1912,3,8.287
1912,4,15.242
1912,5,20.133
1912,6,24.984
1912,7,28.054
1912,8,27.251
1912,9,22.169
1912,10,17.33
1912,11,9.799
1912,12,4.852
1913,1,3.228
1913,2,4.228
1913,3,7.886
1913,4,13.658
1913,5,18.964
1913,6,24.174
1913,7,26.767
1913,8,28.103
1913,9,22.868
1913,10,17.861
1913,11,11.896
1913,12,4.655
1914,1,5.109
1914,2,6.328
1914,3,10.394
1914,4,14.132
1914,5,19.201
1914,6,24.942
1914,7,29.883
1914,8,28.056
1914,9,23.113
1914,10,18.623
1914,11,12.384
1914,12,6.056
1915,1,3.469
1915,2,4.786
1915,3,8.394
1915,4,13.329
1915,5,20.297
1915,6,24.646
1915,7,28.11
1915,8,27.583
1915,9,22.901
1915,10,19.394
1915,11,13.09
1915,12,7.289
1916,1,4.621
1916,2,4.784
1916,3,7.701
1916,4,14.646
1916,5,19.667
1916,6,24.461
1916,7,27.123
1916,8,26.945
1916,9,23.95
1916,10,17.545
1916,11,12.16
1916,12,5.394
1917,1,0.224
1917,2,3.694
1917,3,7.756
1917,4,14.973
1917,5,19.483
1917,6,24.241
1917,7,27.945
1917,8,27.893
1917,9,24.536
1917,10,17.541
1917,11,10.068
1917,12,2.73
1918,1,0.637
1918,2,5.067
1918,3,8.646
1918,4,14.149
1918,5,19.518
1918,6,23.732
1918,7,27.414
1918,8,28.052
1918,9,23.463
1918,10,18.157
1918,11,11.321
1918,12,6.456
1919,1,2.832
1919,2,4.424
1919,3,10.129
1919,4,15.992
1919,5,20.846
1919,6,24.944
1919,7,27.128
1919,8,27.976
1919,9,22.699
1919,10,17.776
1919,11,11.44
1919,12,5.017
1920,1,3.402
1920,2,2.78
1920,3,8.472
1920,4,13.648
1920,5,19.332
1920,6,24.126
1920,7,28.14
1920,8,28.069
1920,9,24.431
1920,10,18.746
1920,11,13.65
1920,12,7.449
1921,1,3.426
1921,2,5.777
1921,3,8.678
1921,4,13.943
1921,5,19.612
1921,6,22.572
1921,7,28.254
1921,8,27.549
1921,9,22.331
1921,10,16.685
1921,11,11.503
1921,12,6.682
1922,1,2.83
1922,2,5.977
1922,3,9.373
1922,4,15.348
1922,5,19.711
1922,6,24.988
1922,7,28.343
1922,8,28.386
1922,9,23.408
1922,10,18.206
1922,11,11.175
1922,12,5.533
1923,1,2.546
1923,2,3.246
1923,3,10.4
1923,4,13.84
1923,5,19.897
1923,6,24.154
1923,7,27.125
1923,8,28.673
1923,9,23.199
1923,10,17.599
1923,11,12.4
1923,12,6.19
1924,1,4.104
1924,2,4.281
1924,3,7
1924,4,15.675
1924,5,19.152
1924,6,23.723
1924,7,28.745
1924,8,28.092
1924,9,23.786
1924,10,18.137
1924,11,10.314
1924,12,5.65
1925,1,2.359
1925,2,3.215
1925,3,9.1
1925,4,13.185
1925,5,20.247
1925,6,25.236
1925,7,27.129
1925,8,27.345
1925,9,23.103
1925,10,18.269
1925,11,13.477
1925,12,5.176
1926,1,3.364
1926,2,4.475
1926,3,9.544
1926,4,14.545
1926,5,21.433
1926,6,22.9
1926,7,28.217
1926,8,29.548
1926,9,24.711
1926,10,16.693
1926,11,12.486
1926,12,4.61
1927,1,3.299
1927,2,3.98
1927,3,7.801
1927,4,14.423
1927,5,19.938
1927,6,24.306
1927,7,29.088
1927,8,28.538
1927,9,23.448
1927,10,17.598
1927,11,13.735
1927,12,7.347
1928,1,3.633
1928,2,4.515
1928,3,9.335
1928,4,15.24
1928,5,21.016
1928,6,24.149
1928,7,28.22
1928,8,26.766
1928,9,23.569
1928,10,17.491
1928,11,12.206
1928,12,6.263
1929,1,3.23
1929,2,3.863
1929,3,9.349
1929,4,15.462
1929,5,20.493
1929,6,24.653
1929,7,28.474
1929,8,28.374
1929,9,23.421
1929,10,17.909
1929,11,11.033
1929,12,5.239
1930,1,0.705
1930,2,6.078
1930,3,10.337
1930,4,15.017
1930,5,20.603
1930,6,24.33
1930,7,29.123
1930,8,28.349
1930,9,22.906
1930,10,17.976
1930,11,10.519
1930,12,6.774
1931,1,2.921
1931,2,3.143
1931,3,10.02
1931,4,13.888
1931,5,18.677
1931,6,24.922
1931,7,26.28
1931,8,28.511
1931,9,22.937
1931,10,17.361
1931,11,13.24
1931,12,5.776
1932,1,4.865
1932,2,3.184
1932,3,8.91
1932,4,14.813
1932,5,19.763
1932,6,23.641
1932,7,29.785
1932,8,28.598
1932,9,22.91
1932,10,17.467
1932,11,12.235
1932,12,6.332
1933,1,0.225
1933,2,3.994
1933,3,7.142
1933,4,13.857
1933,5,21.097
1933,6,23.933
1933,7,29.291
1933,8,28.988
1933,9,24.335
1933,10,17.592
1933,11,12.581
1933,12,7.891
1934,1,0.458
1934,2,4.076
1934,3,8.239
1934,4,12.421
1934,5,20.564
1934,6,25.476
1934,7,30.392
1934,8,29.513
1934,9,23.713
1934,10,16.57
1934,11,10.982
1934,12,7.747
1935,1,3.851
1935,2,5.671
1935,3,11.453
1935,4,14.17
1935,5,20.93
1935,6,24.336
1935,7,28.591
1935,8,28.144
1935,9,23.161
1935,10,19.568
1935,11,12.959
1935,12,3.168
1936,1,1.26
1936,2,3.034
1936,3,5.831
1936,4,14.381
1936,5,18.42
1936,6,24.736
1936,7,27.617
1936,8,27.269
1936,9,24.012
1936,10,18.74
1936,11,12.451
1936,12,5.665
1937,1,4.057
1937,2,4.845
1937,3,8.978
1937,4,14.7
1937,5,20.146
1937,6,23.068
1937,7,28.661
1937,8,28.131
1937,9,24.158
1937,10,18.5
1937,11,11.796
1937,12,6.038
1938,1,2.059
1938,2,4.532
1938,3,8.963
1938,4,16.311
1938,5,21.731
1938,6,23.87
1938,7,28.272
1938,8,27.907
1938,9,23.43
1938,10,19.996
1938,11,11.907
1938,12,6.903
1939,1,3.746
1939,2,5.085
1939,3,9.581
1939,4,14.015
1939,5,20.145
1939,6,25.147
1939,7,27.837
1939,8,27.885
1939,9,23.502
1939,10,18.88
1939,11,12.068
1939,12,5.64
1940,1,3.496
1940,2,4.74
1940,3,8.622
1940,4,14.847
1940,5,20.262
1940,6,24.678
1940,7,28.848
1940,8,27.615
1940,9,23.264
1940,10,18.403
1940,11,12.617
1940,12,7.551
1941,1,5.06
1941,2,5.13
1941,3,10.243
1941,4,15.019
1941,5,20.473
1941,6,24.919
1941,7,26.831
1941,8,27.301
1941,9,22.755
1941,10,18.403
1941,11,12.746
1941,12,7.817
1942,1,3.198
1942,2,3.446
1942,3,10.86
1942,4,15.122
1942,5,19.317
1942,6,24.05
1942,7,29.546
1942,8,28.825
1942,9,24.311
1942,10,18.134
1942,11,12.503
1942,12,5.207
1943,1,2.053
1943,2,4.658
1943,3,9.714
1943,4,13.999
1943,5,20.507
1943,6,23.727
1943,7,27.147
1943,8,27.993
1943,9,24.056
1943,10,18.507
1943,11,12.422
1943,12,7.352
1944,1,4.945
1944,2,4.568
1944,3,9.046
1944,4,14.15
1944,5,20.129
1944,6,24.826
1944,7,29.355
1944,8,27.904
1944,9,24.61
1944,10,18.176
1944,11,13.575
1944,12,2.354
1945,1,1.512
1945,2,2.265
1945,3,8.495
1945,4,15.093
1945,5,19.338
1945,6,24.631
1945,7,28.032
1945,8,28.334
1945,9,24.487
1945,10,17.621
1945,11,14.884
1945,12,6.213
1946,1,5.211
1946,2,6.972
1946,3,8.626
1946,4,16.52
1946,5,19.574
1946,6,25.617
1946,7,27.579
1946,8,28.923
1946,9,25.116
1946,10,18.035
1946,11,13.708
1946,12,4.554
1947,1,4.221
1947,2,2.754
1947,3,9.425
1947,4,15.254
1947,5,19.038
1947,6,23.126
1947,7,28.704
1947,8,28.934
1947,9,24.806
1947,10,16.437
1947,11,12.717
1947,12,5.067
1948,1,3.02
1948,2,5.667
1948,3,9.134
1948,4,16.014
1948,5,19.51
1948,6,25.007
1948,7,28
1948,8,28.725
1948,9,24.551
1948,10,18.31
1948,11,11.144
1948,12,8.805
1949,1,3.397
1949,2,6.753
1949,3,9.435
1949,4,15.102
1949,5,21.221
1949,6,23.436
1949,7,27.64
1949,8,27.936
1949,9,25.457
1949,10,18.48
1949,11,12.563
1949,12,7.302
1950,1,6.168
1950,2,4.67
1950,3,10.138
1950,4,15.077
1950,5,20.483
1950,6,24.401
1950,7,28.725
1950,8,28.006
1950,9,23.555
1950,10,18.9
1950,11,11.854
1950,12,4.772
1951,1,3.41
1951,2,5.137
1951,3,8.2
1951,4,13.225
1951,5,20.989
1951,6,23.953
1951,7,27.381
1951,8,29.071
1951,9,22.948
1951,10,19.382
1951,11,12.258
1951,12,8.217
1952,1,4.803
1952,2,3.577
1952,3,7.751
1952,4,15.598
1952,5,20.097
1952,6,25.28
1952,7,27.821
1952,8,27.68
1952,9,24.128
1952,10,17.501
1952,11,14.581
1952,12,4.352
1953,1,3.329
1953,2,5.711
1953,3,9.692
1953,4,14.463
1953,5,21.569
1953,6,25.608
1953,7,30.402
1953,8,29.988
1953,9,23.508
1953,10,19.704
1953,11,12.91
1953,12,7.53
1954,1,4.857
1954,2,5.271
1954,3,7.813
1954,4,14.343
1954,5,19.655
1954,6,22.966
1954,7,26.454
1954,8,28.676
1954,9,24.288
1954,10,17.681
1954,11,14.333
1954,12,3.89
1955,1,0.458
1955,2,6.428
1955,3,8.424
1955,4,15.028
1955,5,20.161
1955,6,24.801
1955,7,28.045
1955,8,27.71
1955,9,25.565
1955,10,16.913
1955,11,10.888
1955,12,8.35
1956,1,2.916
1956,2,4.52
1956,3,7.931
1956,4,15.27
1956,5,18.186
1956,6,25.26
1956,7,29.805
1956,8,27.59
1956,9,23.606
1956,10,17.403
1956,11,10.041
1956,12,4.806
1957,1,3.932
1957,2,1.915
1957,3,7.66
1957,4,14.452
1957,5,19.194
1957,6,23.642
1957,7,29.243
